word	ANEW #	fem_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
coarse	690	   	1.2	0.5003	1.69	1.0539	1.43	0.7336	1.29	0.5387	1.6	0.8823	43
coast	691	H  	3.63	1.4741	1.3	0.8168	1.4	0.8148	1.67	1.1	1.2	0.7886	35
cockroach	75	*	1	0	2.44	1.4085	2.23	1.4891	3.85	1.5274	4.57	1.0564	38
coffin	76	   	1.15	0.458	2.18	1.4704	4.27	1.0494	3.52	1.3909	2.24	1.4181	41
coin	692	   	2.42	1.31	1.27	0.7141	1.21	0.5123	1.12	0.414	1.21	0.5123	38
cold	693	   	1.39	0.9227	2.18	1.3528	2.36	1.3294	1.67	1.234	1.64	0.95	38
color	694	H  	3.71	1.3443	1.46	0.9793	1.57	1.1499	1.57	1.1688	1.2	0.6964	46
column	695	   	1.27	0.6717	1.12	0.7587	1.21	0.708	1.3	0.6798	1.12	0.458	41
comedy	77	H  	4.37	0.724	1.23	0.8089	1.2	0.5123	1.17	0.4748	1.17	0.7748	38
comfort	696	H  	4.24	1.0315	1.06	0.3244	1.36	0.7181	1.36	0.7391	1	0	38
computer	552	   	2.6	1.4414	1.97	1.2689	1.31	0.7989	1.49	0.9593	1.4	0.9346	46
concentrate	78	   	1.77	0.9961	2.03	1.1628	1.6	0.9599	1.4	0.8735	1.31	0.8192	43
confident	79	H  	3.91	1.3728	1.2	0.6294	1.26	0.7051	1.34	0.8398	1.03	0.3267	46
confused	80	   	1.16	0.477	2.24	1.2242	2.21	1.3015	2.06	1.194	1.24	0.8937	41
consoled	81	   	3.27	1.3781	1.47	0.8501	2.43	1.4407	1.67	1.0059	1.27	0.7702	35
contempt	82	   	1.83	1.4414	2.23	1.3239	1.81	0.9809	1.82	1.1355	1.66	1.1018	43
contents	83	   	1.69	1.1442	1.27	0.5761	1.27	0.5269	1.45	0.8207	1.21	0.5759	38
context	84	   	1.35	0.8305	1.23	0.7193	1.17	0.5816	1.12	0.6183	1.06	0.3542	46
controlling	85	   	1.15	0.822	2.91	1.2836	1.91	1.1043	2.09	1.3043	2.09	1.4003	41
cook	697	H  	2.88	1.5413	1.33	0.8893	1.3	0.6445	1.3	0.6689	1.21	0.6752	38
cord	698	   	1.6	1.0627	1.43	0.8117	1.27	0.6897	1.43	0.9103	1.3	0.6108	35
cork	699	   	2.29	1.4517	1.09	0.3377	1.11	0.4262	1.09	0.3377	1.11	0.4262	43
corner	700	   	1.2	0.5003	1.2	0.7523	1.4	0.9816	1.4	0.9264	1.17	0.627	43
corpse	86	SFD*	1.13	0.4038	2	1.1973	3.67	1.2682	3.5	1.3138	3.67	1.341	35
corridor	701	   	1.33	0.6996	1.21	0.5621	1.36	0.8452	1.7	1.0875	1.27	0.7853	38
corrupt	702	   	1.12	0.7148	2.91	1.2528	2.45	1.396	2.36	1.4659	2.36	1.5827	41
cottage	87	H  	3.58	1.4621	1.21	0.5875	1.42	0.9233	1.27	0.725	1.09	0.4685	41
couple	506	H  	4.33	0.8671	1.6	1.083	1.87	1.143	1.67	1.1368	1.23	0.741	38
cow	554	   	2.73	1.3454	1.4	0.8774	1.37	0.8023	1.53	1.0901	1.77	1.01	35
coward	703	neg*	1.07	0.2355	2.57	1.1868	2.47	1.1718	2.73	1.6688	2.63	1.439	35
cozy	88	H  	4.64	0.7759	1.09	0.4925	1.18	0.37	1	0.1508	1.03	0.2107	44
crash	89	   	1.23	0.8332	3.03	1.5261	3.54	1.3558	3.71	1.347	2.37	1.4176	46
crime	704	neg	1.13	0.4526	3.63	1.0438	3.6	1.2823	3.8	1.1115	3.1	1.3327	38
criminal	705	neg	1.06	0.2263	3.61	1.2611	2.7	1.503	3.88	1.2034	3.21	1.3327	38
crisis	706	   	1	0	2.62	1.2701	3.66	1.081	4.03	0.9852	1.82	1.222	38
crown	90	H  	3.69	1.311	1.37	0.7523	1.23	0.5003	1.29	0.5906	1.17	0.4845	43
crucify	91	neg	1.18	0.5537	3.76	1.4618	4.03	1.3723	3.76	1.4819	3.7	1.7956	44
crude	707	   	1.09	0.5725	2.42	1.1753	1.82	1.1065	1.39	0.9706	2.97	1.2043	41
cruel	92	neg	1.12	0.4526	3.82	1.143	3.45	1.3496	3.15	1.4362	2.97	1.5246	38
crushed	93	S*	1.03	0.2181	2.45	1.3238	3.76	1.1082	2.3	1.447	1.97	1.4309	41
crutch	708	   	1.27	0.6111	2.12	1.298	2.33	1.3692	2.06	1.2302	1.52	1.0053	38
cuddle	94	H  	4.55	1.0752	1.03	0.1562	1.24	0.5823	1.09	0.3004	1	0.1562	41
cuisine	709	H  	3.7	1.3588	1.3	0.7235	1.12	0.3883	1.18	0.5123	1.58	1.083	38
curious	95	   	2.3	1.1009	1.55	1.0329	1.36	0.7857	1.73	0.9939	1.3	0.7947	38
curtains	710	   	1.9	1.1551	1.13	0.4526	1.2	0.4946	1.3	0.6339	1.13	0.4526	38
custom	96	   	2.36	1.4704	1.09	0.3745	1.15	0.5706	1.06	0.4362	1.06	0.3457	41
cut	711	neg*	1.06	0.255	2.7	1.2378	2.64	1.4022	3.15	1.3044	2.52	1.5088	44
cute	97	H  	4.61	0.6954	1.15	0.4925	1.09	0.255	1.09	0.4523	1.15	0.4621	44
cyclone	98	   	1.6	1.2387	2.27	1.4512	2.43	1.4569	3.3	1.3951	1.73	1.3016	35
dagger	99	   	1.2	0.5314	2.6	1.4364	2.31	1.4166	3.57	1.3148	2.31	1.3672	43
damage	712	   	1.23	0.7702	3.6	1.1653	3.23	1.1099	3.07	1.3799	2.53	1.3584	35
dancer	507	H*	3.82	1.3267	1.21	0.791	1.15	0.7587	1.06	0.3745	1	0	41
danger	713	F*	1	0.6182	1.97	1.1195	2.21	1.3029	4.36	0.9479	1.52	1.0136	44
dark	714	   	2	1.496	1.77	1.1718	2.06	1.3773	3.06	1.3897	1.2	0.6384	43
dawn	715	H  	3.63	1.1317	1.2	0.4058	1.3	0.6311	1.2	0.5054	1.17	0.43	35
daylight	716	H  	4.24	0.7679	1.15	0.528	1.18	0.528	1.03	0.2263	1.06	0.2263	38
dazzle	717	H  	4.14	1.2402	1.09	0.4526	1.14	0.542	1.03	0.482	1	0.1474	46
dead	588	   	1.33	0.9226	2.45	1.3579	3.82	1.3001	3.27	1.498	1.85	1.2347	41
death	100	   	1.13	0.5931	3.32	1.3072	4.72	0.5732	4.09	0.9403	1.98	1.1115	44
debt	101	   	1	0	3.17	1.3884	3.43	1.3303	3.9	1.3671	2.27	1.3578	35
deceit	718	neg*	1.11	0.3786	3.69	1.1432	3.17	1.4241	2.83	1.4703	3.34	1.5786	46
decompose	102	   	1.21	0.5468	1.28	0.5243	1.79	1.0354	1.69	1.1217	2.97	1.4882	38
decorate	719	H  	4.06	1.208	1.06	0.2062	1.32	0.6021	1.12	0.3542	1.03	0.1475	46
defeated	103	   	1.24	0.741	3.24	1.3209	3.09	1.3528	2.27	1.386	1.85	1.2116	38
defiant	104	   	1.47	0.992	2.71	1.4459	2.13	1.2527	1.99	1.2843	1.42	0.8219	46
deformed	720	   	1.11	0.4526	2.51	1.5234	3.46	1.374	2.66	1.4526	2.34	1.3107	46
delayed	721	   	1.12	0.4362	2.39	1.2625	1.42	0.8978	1.7	1.1354	1.42	0.9198	41
delight	105	H  	4.77	0.4728	1.07	0.2355	1.13	0.5298	1.2	0.5137	1.13	0.5298	35
demon	106	neg*	1.09	0.4867	2.94	1.5489	2.67	1.4315	3.85	1.2475	2.94	1.5852	38
dentist	589	   	1.76	1.0775	1.24	0.794	1.33	0.6984	2.42	1.2625	1.42	0.9513	41
depressed	107	S  	1	0.3123	2.79	1.3637	4.39	0.8024	3.12	1.4146	2.12	1.2996	41
depression	108	S*	1.07	0.3381	2.9	1.4849	4.4	0.8148	3.33	1.481	1.89	1.0706	35
derelict	722	   	1.41	0.6612	1.62	0.9217	1.45	0.7007	1.7	0.8777	1.74	0.9763	38
deserter	109	   	1.17	0.6521	2.66	1.4111	2.66	1.3497	2.46	1.4528	2	1.4725	43
desire	508	H  	3.93	1.1212	1.67	0.9375	1.5	0.8117	1.5	0.9194	1.13	0.4038	35
despairing	110	   	1.15	0.7588	2.09	1.2359	3.27	1.3457	2.48	1.3982	1.88	1.174	41
despise	111	*	1.13	0.5088	3.73	1.2119	2.7	1.3932	2.37	1.4781	2.7	1.6791	38
destroy	112	neg*	1	0	3.82	1.2037	3.62	1.1449	3.44	1.2855	2.8	1.5903	46
destruction	723	   	1	0	3.73	1.0695	3.58	1.3484	3.18	1.3523	2.3	1.403	44
detached	113	   	1.09	0.4005	2.29	1.4089	2.94	1.5418	2.89	1.3634	1.71	1.1395	46
detail	724	   	2.11	1.3321	1.53	1.0834	1.29	0.8476	1.41	0.8538	1.32	0.8117	46
detest	114	   	1.13	0.4362	3.25	1.5401	1.96	1.1946	2.12	1.2347	2.87	1.6343	41
devil	115	neg	1	0	3.7	1.4225	2.88	1.5422	3.73	1.3922	3.61	1.5406	38
devoted	116	H  	3.79	1.1576	1.15	0.3695	1.42	0.8263	1.42	0.7215	1.12	0.3883	38
diamond	117	H  	4.76	0.8611	1.18	0.6421	1.09	0.565	1.06	0.255	1.12	0.803	44
dignified	118	H  	3.62	1.5	1.17	0.414	1.27	0.5275	1.3	0.7309	1.1	0.3588	38
dinner	509	H  	3.45	1.3907	1.21	0.6286	1.12	0.4522	1.21	0.5291	1.29	0.7187	46
