word	ANEW #	male_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
color	694	H  	3.1	1.56	1.23	0.67	1.35	0.75	1.32	0.83	1.26	0.68	31
column	695	   	1.39	0.76	1.23	0.5	1.23	0.56	1.19	0.54	1.13	0.43	31
comedy	77	H  	4.46	0.74	1.07	0.26	1.04	0.19	1	0	1.07	0.26	28
comfort	696	H  	4.14	0.85	1.04	0.19	1.04	0.19	1.04	0.19	1	0	28
computer	552	   	2.97	1.49	1.77	1.2	1.16	0.45	1.26	0.63	1.39	0.76	31
concentrate	78	   	1.76	1.24	1.69	1	1.28	0.59	1.17	0.6	1.14	0.35	29
confident	79	H  	3.65	1.38	1.23	0.5	1.16	0.45	1.26	0.63	1.19	0.54	31
confused	80	   	1.19	0.48	2.19	1.11	2.13	1.12	1.94	1.12	1.45	0.81	31
consoled	81	   	2.76	1.33	1.48	0.91	2.34	1.4	1.52	0.83	1.41	0.98	29
contempt	82	   	1.85	1.22	2.45	1.4	1.41	0.82	1.72	1.07	1.59	1.15	29
contents	83	   	1.36	0.91	1.04	0.19	1	0	1.14	0.45	1.04	0.19	28
context	84	   	1.35	0.8	1.23	0.67	1.19	0.79	1.26	0.68	1.19	0.79	31
controlling	85	   	1.42	0.89	2.65	1.05	1.87	0.92	2.1	1.22	2	1.18	31
cook	697	H  	2.89	1.5	1.25	0.59	1.11	0.31	1.25	0.65	1.18	0.67	28
cord	698	   	1.62	1.01	1.45	0.99	1.14	0.44	1.28	0.65	1.21	0.56	29
cork	699	   	2.21	1.35	1.24	0.79	1.14	0.44	1.21	0.77	1.21	0.68	29
corner	700	   	1.55	1.06	1.41	0.82	1.66	1.01	1.56	0.91	1.24	0.74	29
corpse	86	*	1.14	0.44	2.17	1.51	2.79	1.42	2.79	1.61	3.24	1.57	29
corridor	701	   	1.25	0.59	1.25	0.84	1.32	0.9	1.54	1	1.18	0.55	28
corrupt	702	   	1.16	0.45	3.1	1.22	2.32	1.19	2.35	1.25	2.48	1.41	31
cottage	87	H  	3.07	1.39	1.07	0.37	1.13	0.43	1.07	0.37	1.07	0.37	30
couple	506	H  	3.71	1.41	1.29	0.53	1.29	0.6	1.46	0.69	1.25	0.59	28
cow	554	   	2.1	1.18	1.24	0.69	1.38	0.98	1.28	0.84	1.38	0.86	29
coward	703	*	1.14	0.58	2.1	1.29	2.38	1.18	2.69	1.61	2.34	1.47	29
cozy	88	H  	4.07	0.94	1.23	0.57	1.2	0.48	1.27	0.74	1.17	0.53	30
crash	89	   	1.19	0.75	2.65	1.4	3	1.37	3.23	1.45	1.9	1.19	31
crime	704	neg	1.07	0.26	3.25	1.17	3	1.19	3.25	1.21	2.61	1.31	28
criminal	705	neg	1	0	2.89	1.34	2.57	1.23	3.07	1.36	2.86	1.46	28
crisis	706	   	1.04	0.19	2.29	1.15	2.86	1.15	3.5	1.26	1.68	1.12	28
crown	90	H  	3.41	1.52	1.24	0.58	1.1	0.41	1.24	0.51	1	0	29
crucify	91	neg	1.3	0.84	3.07	1.34	3.43	1.36	2.77	1.36	3.4	1.3	30
crude	707	   	1.16	0.52	2.32	1.14	1.84	1	1.9	0.94	2.61	1.09	31
cruel	92	neg	1	0	3.79	1.2	3.32	1.31	3.11	1.47	3.07	1.65	28
crushed	93	*	1.1	0.31	2.73	1.31	3.43	1.28	2.43	1.28	2.2	1.37	30
crutch	708	   	1.04	0.19	1.86	1.11	2.39	1.13	1.82	0.9	1.11	0.42	28
cuddle	94	H  	4.3	0.97	1.13	0.43	1.35	0.88	1.23	0.56	1.1	0.4	31
cuisine	709	H  	3.54	1.48	1.04	0.19	1	0	1.11	0.42	1.18	0.48	28
curious	95	   	2.5	1.29	1.36	0.73	1.29	0.6	1.5	0.84	1.07	0.38	28
curtains	710	   	1.46	0.92	1.07	0.26	1.29	0.76	1.04	0.19	1.04	0.19	28
custom	96	   	2.1	1.22	1.35	0.71	1.35	0.66	1.29	0.64	1.29	0.74	31
cut	711	*	1.17	0.38	2.77	1.48	2.17	1.12	2.7	1.34	2.2	1.16	30
cute	97	H  	4.13	0.97	1.13	0.43	1.33	0.84	1.13	0.35	1.1	0.31	30
cyclone	98	   	1.24	0.69	2.24	1.35	2.31	1.04	3.38	1.27	1.34	0.9	29
dagger	99	   	1.17	0.38	2.52	1.4	1.93	1.13	3.24	1.3	1.66	1.17	29
damage	712	   	1.45	1.18	3.34	1.34	2.72	1.1	2.31	1.2	2.31	1.37	29
dancer	507	*	2.77	1.48	1.32	0.7	1.32	0.6	1.39	0.76	1.35	0.75	31
danger	713	*	1.47	0.68	2.57	1.1	2.23	0.94	3.63	1.22	1.63	0.93	30
dark	714	   	1.52	0.91	1.46	0.68	2.08	1.13	2.85	1.12	1.32	0.6	29
dawn	715	H  	2.9	1.21	1.31	0.85	1.48	0.83	1.38	0.86	1.21	0.68	29
daylight	716	H  	3.68	1.16	1.25	0.65	1.07	0.26	1.04	0.19	1.04	0.19	28
dazzle	717	H  	3.1	1.45	1.13	0.43	1.1	0.3	1.06	0.25	1.1	0.3	31
dead	588	   	1.32	0.94	2.16	1.46	3	1.34	2.87	1.43	2.03	1.4	31
death	100	   	1.3	0.6	2.9	1.06	3.9	1.27	3.57	1.45	2.47	1.2	30
debt	101	   	1.17	0.76	3	1.31	3.31	1.42	3.1	1.45	2.38	1.72	29
deceit	718	*	1.2	0.48	3.2	1.38	2.53	1.36	2.13	1.2	2.29	1.47	31
decompose	102	   	1.07	0.38	1.25	0.65	1.75	1.27	1.54	1.1	2.96	1.5	28
decorate	719	H  	2.9	1.37	1.13	0.34	1.13	0.43	1.19	0.6	1.23	0.76	31
defeated	103	   	1.14	0.76	3.46	1.35	3.25	1.24	2.36	1.37	2.07	1.49	28
defiant	104	   	1.77	1.02	2.4	1.4	1.65	1.08	1.81	1.14	1.63	1.2	31
deformed	720	   	1.1	0.3	1.84	1	3.13	1.45	2.16	1.24	2.71	1.44	31
delayed	721	   	1.29	0.82	2.29	1.19	1.7	1.01	1.74	1.03	1.48	0.93	31
delight	105	H  	4.59	0.68	1.14	0.44	1.14	0.35	1.07	0.26	1.03	0.19	29
demon	106	*	1.04	0.19	3.14	1.15	2.32	1.36	3.75	1.24	2.46	1.48	28
dentist	589	   	1.65	1.02	1.81	1.22	1.68	1.11	2.52	1.41	1.81	1.11	31
depressed	107	S  	1.04	0.18	2.5	1.36	4.23	1.01	2.87	1.28	2.07	1.26	30
depression	108	*	1.1	0.56	2.79	1.42	4.21	1.21	3.07	1.36	2.28	1.51	29
derelict	722	   	1.42	0.9	1.6	1.08	1.8	1.12	1.46	0.82	1.91	1.27	28
deserter	109	   	1.04	0.19	3.14	1.36	2.21	1.4	2.03	1.38	2.93	1.51	29
desire	508	H  	3.76	1.09	1.57	0.86	1.31	0.6	1.55	0.83	1.07	0.26	29
despairing	110	   	1.1	0.4	2.17	1.21	3.3	1.24	2.27	1.26	1.87	1.01	30
despise	111	A*	1.04	0.19	3.57	1.2	2.14	1.24	1.71	0.94	2.14	1.43	28
destroy	112	*	1.32	0.7	3.26	1.39	2.61	1.33	2.58	1.41	1.71	1.22	31
destruction	723	   	1.5	1.04	3.7	1.15	2.9	1.35	2.6	1.22	2.27	1.31	30
detached	113	   	1.35	0.95	1.74	1.12	2.39	1.09	1.84	1.24	1.13	0.43	31
detail	724	   	2.13	1.31	1.32	0.65	1.1	0.3	1.1	0.4	1.35	0.8	31
detest	114	   	1.07	0.25	2.8	1.3	1.81	1.01	1.87	1.06	2.6	1.45	31
devil	115	neg	1	0	3.21	1.55	2.68	1.52	3.61	1.52	2.96	1.86	28
devoted	116	H  	3.32	1.31	1.07	0.26	1.07	0.26	1.25	0.65	1	0	28
diamond	117	H  	3.4	1.48	1.27	0.64	1.37	0.76	1.2	0.55	1.33	0.76	30
dignified	118	H  	3.32	1.33	1.11	0.31	1.04	0.19	1.07	0.38	1.11	0.31	28
dinner	509	H  	3.9	0.98	1.16	0.45	1.13	0.43	1.1	0.4	1.23	0.56	31
diploma	119	H  	4.11	1.07	1	0	1.29	0.85	1.36	0.91	1	0	28
dirt	725	   	1.8	1.1	1.33	0.66	1.37	0.76	1.33	0.71	2.1	1.3	30
dirty	590	*	1.28	0.53	2.07	1.13	1.79	1.01	1.72	0.88	3.41	1.52	29
disappoint	120	   	1.06	0.36	2.61	1.26	3.1	1.16	2.74	1.37	1.9	1.25	31
disaster	121	neg*	1.11	0.41	2.96	1.21	3.5	1.18	3.43	1.27	2.43	1.24	29
discomfort	726	   	1.17	0.76	2.76	1.21	2.17	1.17	1.79	1.08	2.1	1.4	29
discouraged	122	   	1.14	0.44	2.45	1.24	2.66	1.37	1.62	0.82	1.72	1	29
disdainful	123	   	1.32	0.6	2.3	1.19	1.73	0.92	1.73	1.1	2.04	1.3	29
disgusted	124	D  	1.23	0.67	1.9	1.27	1.52	1.03	1.58	1.15	4.53	1.15	31
disloyal	125	*	1.04	0.19	3.43	1.32	2.57	1.29	2.14	1.18	2.43	1.43	28
displeased	126	   	1.04	0.19	2.79	1.17	1.71	1.01	1.57	0.92	1.61	1.03	28
distressed	127	   	1.3	0.75	2.93	1.23	2.87	1.01	2.77	1.19	1.8	0.96	30
disturb	727	A  	1.04	0.19	2.89	1.1	1.61	0.92	1.75	1.17	1.68	1.02	28
diver	510	   	2.32	1.28	1.11	0.42	1.07	0.38	1.57	1.03	1.14	0.45	28
divorce	128	   	1	0	3.14	1.08	3.64	1.03	3.11	1.37	2.57	1.53	28
doctor	129	   	2.37	1.27	1.76	0.82	1.8	0.96	2.47	1.04	1.47	0.68	30
dog	511	H  	4.03	1.25	1.42	0.72	1.71	1.13	1.19	0.48	1.29	0.74	31
doll	728	*	2.1	1.42	1.41	1.02	1.28	0.7	1.45	0.78	1.52	1.09	29
dollar	729	H  	3.13	1.23	1.42	0.81	1.35	0.66	1.48	0.85	1.26	0.63	31
